,lat,lon,count,hashTags,tweet
0,-6.2087634,106.845599,1,[],"Demi menekan dampak krisis iklim yang lebih buruk di masa mendatang, Indonesia harus melakukan berbagai langkah ambisius dalam kebijakan energi dan kehutanan: https://t.co/za0suoUsnr"
1,-6.2087634,106.845599,1,[],"Kebijakan energi Presiden Jokowi. Blok Rokan kembali ke Ibu Pertiwi.

Hari ini, kontrak PT Chevron Pacific Indonesia berakhir setelah 70 tahun mengelola Blok Rokan.
Mulai besok, 9 Agustus 2021, @pertamina melalui PT Pertamina Hulu Rokan akan mengambil alih Blok Rokan. https://t.co/SY6TEx0C07"
2,-6.2087634,106.845599,1,[],"Ini mengingat negeri ini masih membutuhkan komoditas tersebut untuk memenuhi energi di masa depan.

Badan khusus di luar pemerintah tersebut, lanjut dia, melakukan pengaturan, pengurusan, dan pengawasan, terhadap implementasi kebijakan pengelolaan migas yang dilandasi"
3,-7.090910999999999,107.668887,1,[],"@MClump97 @godham93740956 @AliNgabalinNew Menurut dia mah .. kata2 dungu , planga plongo , boneka , tempurung merupakan kebijakan 

Dah lah bro .. buang2 energi debat sm kadrun"
4,-6.2087634,106.845599,1,[],"Kontribusi terbesar dari kontrak ini berasal dari sektor infrastruktur dan gedung, sektor industri, energi &amp; industrial plant, serta properti. https://t.co/nDSvqzcpuZ"
5,-6.9174639,107.6191228,1,"['#vaksinbangkitkanekonomi', '#vaksintanganipandemi']",Skema pembiayaan infrastruktur proyek energi hijau dapat melalui beberapa alternatif. #VaksinBangkitkanEkonomi #VaksinTanganiPandemi https://t.co/CtUwyOwWz6
6,-6.2087634,106.845599,1,"['#vaksinbangkitkanekonomi', '#vaksintanganipandemi']",Skema pembiayaan infrastruktur proyek energi hijau dapat melalui beberapa alternatif. #VaksinBangkitkanEkonomi #VaksinTanganiPandemi https://t.co/NWsk7LIgIl
7,-7.0051453,110.4381254,1,"['#vaksinbangkitkanekonomi', '#vaksintanganipandemi']",Skema pembiayaan infrastruktur proyek energi hijau dapat melalui beberapa alternatif. #VaksinBangkitkanEkonomi #VaksinTanganiPandemi https://t.co/O0EOqdgdik
8,-6.2087634,106.845599,1,[],Pertamina Terus Kembangkan Infrastruktur Energi Bersih https://t.co/1ZtCau0Iy3 @jokowi
9,-6.2087634,106.845599,1,[],"Pertamina Patra Niaga Terus Kembangkan Infrastruktur Energi Bersih, Indonesia Siap Miliki Green Energy Station https://t.co/JEoXgUgo52"
